CHEMICAL_NAME,SUPER_PATHWAY,KEGG
TAG56:6-FA22:6,Complex lipids,C00422
TAG56:7-FA16:1,Complex lipids,C00422
TAG56:7-FA18:1,Complex lipids,C00422
TAG56:7-FA18:3,Complex lipids,C00422
TAG57:3-FA18:2,Complex lipids,C00422
TAG58:10-FA22:6,Complex lipids,C00422
TAG58:5-FA18:1,Complex lipids,C00422
TAG58:6-FA16:0,Complex lipids,C00422
TAG58:6-FA22:5,Complex lipids,C00422
TAG58:7-FA16:0,Complex lipids,C00422
TAG40:0-FA12:0,Complex lipids,C00422
TAG40:0-FA16:0,Complex lipids,C00422
TAG42:0-FA16:0,Complex lipids,C00422
TAG42:1-FA16:1,Complex lipids,C00422
TAG42:2-FA12:0,Complex lipids,C00422
TAG44:0-FA12:0,Complex lipids,C00422
TAG44:1-FA14:0,Complex lipids,C00422
TAG44:1-FA18:1,Complex lipids,C00422
TAG46:1-FA14:0,Complex lipids,C00422
TAG47:0-FA16:0,Complex lipids,C00422
TAG47:2-FA18:1,Complex lipids,C00422
TAG48:1-FA18:0,Complex lipids,C00422
TAG48:2-FA14:1,Complex lipids,C00422
TAG48:2-FA18:0,Complex lipids,C00422
TAG48:4-FA12:0,Complex lipids,C00422
TAG48:4-FA18:3,Complex lipids,C00422
TAG49:0-FA15:0,Complex lipids,C00422
TAG49:3-FA18:2,Complex lipids,C00422
TAG50:0-FA14:0,Complex lipids,C00422
TAG50:3-FA14:0,Complex lipids,C00422
